city_code,name,presentation_title,presentation_body,economy_title,revenu_title,revenu_value,chomage_title,chomage_value,fibre_title,fibre_value,entreprises_title,entreprises_value
ville-du-pont-25620,Ville-du-Pont 25650 Doubs,Présentation de Ville-du-Pont,Ville-du-Pont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 329 habitants. Les habitants de Ville-du-Pont sont appelés les saugets. Ville-du-Pont appartient à la communauté de communes de Montbenoît. Le code postal de Ville-du-Pont est 25650.,ville-du-pont-25620,Économie,Revenu médian,26 430 €,Taux de chômage,"5,7 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"11,8 %"
villers-grelot-25624,Villers-Grélot 25640 Doubs,Présentation de Villers-Grélot,Villers-Grélot est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 144 habitants. Villers-Grélot appartient à la communauté de communes du Doubs Baumois. Le code postal de Villers-Grélot est 25640.,villers-grelot-25624,Économie,Revenu médian,21 950 €,Taux de chômage,"3,03 %",couverture en très haut débit (fibre),"99,02 %",Taux de création d'entreprises,-
villars-les-blamont-25615,Villars-lès-Blamont 25310 Doubs,Présentation de Villars-lès-Blamont,Villars-lès-Blamont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 458 habitants. Villars-lès-Blamont appartient à la communauté d'agglomération Pays de Montbéliard Agglomération. Le code postal de Villars-lès-Blamont est 25310.,villars-les-blamont-25615,Économie,Revenu médian,24 110 €,Taux de chômage,"9,86 %",couverture en très haut débit (fibre),"95,22 %",Taux de création d'entreprises,"11,1 %"
les-villedieu-25619,Les Villedieu 25240 Doubs,Présentation de Les Villedieu,Les Villedieu est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 210 habitants. Les Villedieu appartient à la communauté de communes des Lacs et Montagnes du Haut-Doubs. Le code postal de Les Villedieu est 25240.,les-villedieu-25619,Économie,Revenu médian,30 980 €,Taux de chômage,"10,4 %",couverture en très haut débit (fibre),"91,45 %",Taux de création d'entreprises,-
villers-buzon-25622,Villers-Buzon 25170 Doubs,Présentation de Villers-Buzon,Villers-Buzon est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 277 habitants. Les habitants de Villers-Buzon sont appelés les villers-buzonnais et les villers-buzonnaises. Villers-Buzon appartient à la communauté de communes du Val Marnaysien. Le code postal de Villers-Buzon est 25170.,villers-buzon-25622,Économie,Revenu médian,25 470 €,Taux de chômage,"4,88 %",couverture en très haut débit (fibre),"98,84 %",Taux de création d'entreprises,"42,9 %"
villers-la-combe-25625,Villers-la-Combe 25510 Doubs,Présentation de Villers-la-Combe,Villers-la-Combe est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 50 habitants. Villers-la-Combe appartient à la communauté de communes des Portes du Haut-Doubs. Le code postal de Villers-la-Combe est 25510.,villers-la-combe-25625,Économie,Revenu médian,-,Taux de chômage,"7,4 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,-
villers-sous-chalamont-25627,Villers-sous-Chalamont 25270 Doubs,Présentation de Villers-sous-Chalamont,Villers-sous-Chalamont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 296 habitants. Villers-sous-Chalamont appartient à la communauté de communes Altitude 800. Le code postal de Villers-sous-Chalamont est 25270.,villers-sous-chalamont-25627,Économie,Revenu médian,21 760 €,Taux de chômage,"4,48 %",couverture en très haut débit (fibre),"96,67 %",Taux de création d'entreprises,"33,3 %"
voujeaucourt-25632,Voujeaucourt 25420 Doubs,Présentation de Voujeaucourt,Voujeaucourt est une petite ville située dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 3 130 habitants. Les habitants de Voujeaucourt sont appelés les vodjacois et les vodjacoises. Voujeaucourt appartient à la communauté d'agglomération Pays de Montbéliard Agglomération. Le code postal de Voujeaucourt est 25420.,voujeaucourt-25632,Économie,Revenu médian,23 440 €,Taux de chômage,"9,41 %",couverture en très haut débit (fibre),"87,83 %",Taux de création d'entreprises,"14,6 %"
bouconville-vauclair-02102,Bouconville-Vauclair 02860 Aisne,Présentation de Bouconville-Vauclair,Bouconville-Vauclair est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 186 habitants. Les habitants de Bouconville-Vauclair sont appelés les bouconvillois et les bouconvilloises. Bouconville-Vauclair appartient à la communauté de communes du Chemin des Dames. Le code postal de Bouconville-Vauclair est 02860.,bouconville-vauclair-02102,Économie,Revenu médian,21 620 €,Taux de chômage,"9,18 %",couverture en très haut débit (fibre),"98,06 %",Taux de création d'entreprises,-
bouresches-02105,Bouresches 02400 Aisne,Présentation de Bouresches,Bouresches est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 190 habitants. Bouresches appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Bouresches est 02400.,bouresches-02105,Économie,Revenu médian,23 360 €,Taux de chômage,"11,3 %",couverture en très haut débit (fibre),"99,06 %",Taux de création d'entreprises,25 %
brissy-hamegicourt-02124,Brissy-Hamégicourt 02240 Aisne,Présentation de Brissy-Hamégicourt,Brissy-Hamégicourt est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 653 habitants. Brissy-Hamégicourt appartient à la communauté de communes du Val de l'Oise. Le code postal de Brissy-Hamégicourt est 02240.,brissy-hamegicourt-02124,Économie,Revenu médian,20 860 €,Taux de chômage,"9,09 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"29,4 %"
